Y2 E2 phi2
87 120.8602 -0.146450900880798
855 857.7657 -0.0574521917766144
155 182.4742 -0.154925662824846
158 172.0384 -0.0927238860370819
146 139.8479 -0.0370593166803265
57 51.98487 0.204415533546195
248 258.2823 0.00191761751686458
142 176.3205 -0.1907596548941
180 179.6938 -0.0238919653395161
190 202.2688 -0.226590797516178
166 178.2542 0.00707645665596267
78 98.2306 0.0129903268869144
208 157.2349 0.233324702893623
238 246.4699 0.0231663586124133
51 57.49873 -0.0805049878778072
38 30.82345 -0.0597649402806497
78 99.96094 -0.222266623539136
240 326.0638 -0.234334261176816
979 1020.838 -0.00138993977072838
73 80.93548 -0.0793737497995116
210 209.3946 -0.0259486755678941
144 131.6917 -0.0309470116702643
141 150.0762 -0.0359799433639959
233 231.1483 -0.0506517171603504
228 250.6718 -0.0918961302045077
50 52.98478 -0.21327311849189
5285 4901.32 0.0845901644498528
118 115.7258 -0.0419878794295313
125 115.6146 0.061230280866758
95 128.3308 -0.264837532493077
250 272.1311 -0.0220949507559141
84 85.11706 -0.0434118644052447
65 78.36477 -0.117563010401940
236 231.6831 -0.110825627853696
36 43.96729 -0.276922516285542
124 97.85056 0.22568633713005
61 71.3793 -0.0110038519181302
113 79.31113 0.287962201670244
30 28.6697 -0.0550081779808742
123 137.9004 -0.142900667165220
34 59.72053 -0.318971419789374
121 141.8261 -0.234549230006448
177 184.0114 -0.070000297133247
43 33.60394 0.102673588156629
67 73.9893 -0.0526893310810256
106 164.0655 -0.311918013825450
138 135.816 -0.0155371559414962
88 129.1745 -0.302920328696973
168 181.8717 -0.143496868840111
269 279.5742 -0.0588754209345892
49 72.61381 -0.434562942722718
116 127.3013 0.0182893775714638
110 138.847 -0.294868272951038
55 60.20661 -0.113042455907847
614 500.2213 0.168212612087943
427 388.2451 0.0311758647245668
86 82.25608 -0.0318244365952647
161 143.1861 -0.0292363309322999
78 77.10002 -0.0149940159013454
276 209.7784 0.135760649108888
81 87.8736 0.000432779006863864
2566 2366.409 0.111824463406059
34 30.84974 0.0377394217414311
87 124.4036 -0.190112763540630
126 127.2489 -0.097032981243321
289 242.8113 0.205282516538825
65 72.20854 -0.344004943822151
92 79.46355 -0.0347911085263811
1452 1254.667 0.134530475713851
211 220.6358 -0.0646450215181134
123 164.2727 -0.201452116539746
76 95.6521 -0.192037902948822
475 544.0095 -0.122602660181822
135 171.4738 -0.11086174862285
63 62.56808 -0.0374643777896206
88 83.95774 -0.109154409247557
144 149.9075 -0.112460501609232
38 38.58144 0.0060482473668969
141 123.751 0.110809303923719
112 96.52337 0.164349803735404
110 106.2743 -0.0521485851503069
542 594.0131 -0.073473907025916
101 82.42592 0.0649205536432539
44 46.04747 0.201516675164108
242 251.8864 0.00778829509212139
259 304.4172 -0.0998740977224689
57 87.07907 -0.32445117276334
